Title,Address,City,Price,Bedroom,Bathroom,Floors,Parking,Area,Road Width,Road Type,Build Area
"Modern Newly Residential Home At Balaju, Boharatar, Kathmandu : House For Sale In Balaju, Kathmandu","Boharatar, Balaju, Kathmandu",Kathmandu,25000000,7,5,4,1,3 Aana,13 Feet , Gravelled,2.75 Aana
"House For Sale In Syuchatar, Kathmandu","Syuchatar, Syuchatar, Kathmandu",Kathmandu,16500000,0,0,2,0,0-3-0-1 Aana,14 Feet , Blacktopped,N/A Aana
"House For Sale At Chhauni Kathmandu : House For Sale In Chhauni, Kathmandu","Museum Marga, Chhauni, Kathmandu",Kathmandu,46000000,5,4,N/A,2,0-7-0-0 Aana,13 Feet , Blacktopped,3000 Sq. Feet
"House For Sale In Kausaltar, Bhaktapur","Kausaltar, Kausaltar, Bhaktapur",Bhaktapur,30000000,5,4,3,0,0-7-2-0 Aana,15 Feet , Blacktopped,N/A Sq. Feet
"Housing Land : Land For Sale In Bhaktapur, Bhaktapur","Sirutar, Bhaktapur, Bhaktapur",Bhaktapur,1700000,0,0,N/A,0,0-4-3-1 Aana,20 Feet , Gravelled,N/A Aana
"Land For Sale In Mulpani, Kathmandu","Green Hill City, Mulpani, Kathmandu",Kathmandu,3300000,0,0,N/A,0,0-5-2-0 Aana,8 Meter,NA,N/A Sq. Feet
"Land For Sale In Damak, Jhapa","Damak, Damak, Jhapa",Jhapa,330000,0,0,N/A,0,10 Dhur,13 Feet , Gravelled,N/A Sq. Feet
"Land For Sale In Gongabu, Kathmandu","Gongabu, Gongabu, Kathmandu",Kathmandu,7000000,0,0,N/A,0,4 Aana,20 Feet , Blacktopped,N/A Sq. Feet
"House For Sale In Basbari, Kathmandu","Neuro Hospital, Basbari, Kathmandu",Kathmandu,28000000,2,4,3,3,5 Aana,13 Feet , Gravelled,N/A Aana
"House For Sale In Mid Baneshwor, Kathmandu","MId Baneshwor, Mid Baneshwor, Kathmandu",Kathmandu,35000000,0,0,N/A,0,0-3-5-0 Aana,13 Feet , Blacktopped,N/A Sq. Feet
"House For Sale In Thapagaun, Kathmandu","Thapagaun, Thapagaun, Kathmandu",Kathmandu,49000000,0,0,N/A,0,0-4-2-0 Aana,12 Feet , Blacktopped,N/A Sq. Feet
"Land For Sale In Samakhusi, Kathmandu","Maipi, Samakhusi, Kathmandu",Kathmandu,4000000,0,0,N/A,0,4/4/5/5/6 Aana,20 Feet , Gravelled,N/A Aana
"Flat On Rent : Flat For Rent In Pasikot, Kathmandu","Shree ram chowk,, Pasikot, Kathmandu",Kathmandu,20000,2,1,3,2,0-6-0-0 Aana,13 Feet , Soil Stabilized,0-3-0-0 Aana
"Urgent Sale : Land For Sale In Birgunj, Parsa","Medical College Road, Birgunj, Parsa",Parsa,350000,0,0,N/A,0,26 Dhur,26 Feet , Gravelled,N/A Dhur
"SUNDARBASTI HOME : House For Sale In Bhangal, Kathmandu","Sundarbasti, Bhangal, Kathmandu",Kathmandu,21500000,5,5,3,1,3.5 Aana,13 Feet , Gravelled,N/A Aana
"Land For Sale In Tokha, Kathmandu","Greenland Chok, Tokha, Kathmandu",Kathmandu,3900000,0,0,N/A,0,8 Aana,15 Feet , Blacktopped,N/A Aana
"GOLFUTAR 4 ANA : Land For Sale In Golfutar, Kathmandu","NA, Golfutar, Kathmandu",Kathmandu,6700000,0,0,N/A,0,4 Aana,33 Feet,NA,N/A Aana
"House For Sale In Budhanilkantha, Kathmandu","Srijana Tole, Budhanilkantha, Kathmandu",Kathmandu,25500000,7,5,3,1,5 Aana,20 Feet , Gravelled,2600 Sq. Feet
"Perfect 8 Anna Residential Land For Sale Inside Budhanilkantha Villa : Land For Sale In Budhanilkantha, Kathmandu","Budhanilkantha Villa, Budhanilkantha, Kathmandu",Kathmandu,4200000,0,0,N/A,0,0-8-0-0 Aana,15 Feet , Blacktopped,N/A Aana
"House For Sale In Gothatar, Kathmandu","Gothatar, Gothatar, Kathmandu",Kathmandu,16500000,8,0,N/A,0,0-3-0-1 Aana,13 Feet , Gravelled,N/A Sq. Feet
"House For Sale In Bhangal, Kathmandu","Sundara Basti, Bhangal, Kathmandu",Kathmandu,22000000,11,0,N/A,0,0-3-5-0 Aana,13 Feet , Gravelled,N/A Sq. Feet
"House For Sale In Changunarayan, Bhaktapur","Thathali, Changunarayan, Bhaktapur",Bhaktapur,10500000,0,0,N/A,0,4 Aana,10 Feet , Blacktopped,N/A Sq. Feet
"Land For Sale In Budhanilkantha, Kathmandu","Budhanilkantha, Budhanilkantha, Kathmandu",Kathmandu,2200000,0,0,N/A,0,0-9-2-0 Aana,18 Feet , Blacktopped,N/A Sq. Feet
"Land For Sale In Lagankhel, Lalitpur","Lagankhel, Lagankhel, Lalitpur",Lalitpur,5000000,0,0,N/A,0,10 Sq. Feet,11 Feet , Blacktopped,N/A Sq. Feet
"Land For Sale In Lubhu, Lalitpur","Jagate, Lubhu, Lalitpur",Lalitpur,1250000,0,0,N/A,0,0-4-1-0 Aana,20 Feet , Soil Stabilized,N/A Sq. Feet
"12 Anna Fully Furnished Bungalow For Sale At Dhumbarahi, Pragati Tole : House For Sale In Dhumbarahi, Kathmandu","Pragati Tole, Dhumbarahi, Kathmandu",Kathmandu,70000000,5,7,2,3,0-12-0-0 Aana,14 Feet , Blacktopped,N/A Aana
"Land For Sale Near Itahari Chowk : Land For Sale In Birtamod Road, Itahari","Nearby Sangeet Chowk, Birtamod Road, Itahari",Itahari,1250000,0,0,N/A,0,10 Dhur,20 Feet , Blacktopped,N/A Aana
"House For Sale In Banasthali, Kathmandu","Prakritik Chowk, Banasthali, Kathmandu",Kathmandu,39500000,5,6,3,5,0-5-3-0 Aana,20 Feet , Blacktopped,N/A Aana
"Land For Sale In Dahachowk, Khahare, Kathmandu","Khahare chowk dahachowk, Dahachowk, khahare, Kathmandu",Kathmandu,1450000,0,0,N/A,0,10-0-0-0 Ropani,6 Meter , Gravelled,N/A Ropani
"One Storied House For Sale Near Pashupati, Guheswori, Boudha : House For Sale In Chabahil, Kathmandu","Guheshwori, Chabahil, Kathmandu",Kathmandu,18000000,2,1,1,0,5-1 Aana,12 Feet , Blacktopped,2.6 Aana
"60 Feet Faced Land On Main Road : Land For Sale In Mahalaxmisthan, Lalitpur","Shovahiti, Mahalaxmisthan, Lalitpur",Lalitpur,4300000,0,0,0,0,0-6-3-0 Sq. Feet,26 Feet , Blacktopped,N/A Sq. Feet
"Bungalow For Sale At Sitapaila, Sita Homes : House For Sale In Sitapaila, Kathmandu","25 Gha, Sitapaila, Kathmandu",Kathmandu,22000000,3,4,3,1,3 Aana,14 Feet,NA,1800 Aana
"Land For Lease In DDC Chowk, Biratnagar","ddc chowk, DDC Chowk, Biratnagar",Biratnagar,30000,0,0,N/A,0,1-0-0-0 Ropani,0 Feet,NA,N/A Ropani
"House For Rent In Tarkeshwor, Kathmandu","Malpot office Manamaiju, Tarkeshwor, Kathmandu",Kathmandu,110000,0,6,3,1,6 Aana,22 Feet , Blacktopped,N/A Aana
"Apartment For Rent In Jhamsikhel, Lalitpur","Jhamsikhel, Jhamsikhel, Lalitpur",Lalitpur,40000,2,1,12,1,683 Sq. Feet,0 Feet,NA,N/A Sq. Feet
"9 Anna Land For Sale At Baluwatar Infront Of Himani Trust : Land For Sale In Baluwatar, Kathmandu","Infront Of Himani Trust, Baluwatar, Kathmandu",Kathmandu,5500000,0,0,N/A,0,0-9-0-0 Aana,16 Feet , Blacktopped,N/A Aana
"Tempting Brand New Modern Bungalow For Sale In Maharajgunj : House For Sale In Maharajgunj, Kathmandu","Maharajgunj, Maharajgunj, Kathmandu",Kathmandu,62500000,5,6,2,5,0-6.5-0-0 Aana,15 Feet , Blacktopped,N/A Aana
"7 Anna Attractive Land At Narayan Chaur, Naxal Near Star Venue Party Palace : Land For Sale In Naxal, Kathmandu","Near Star Venue Party Palace, Naxal, Kathmandu",Kathmandu,8500000,0,0,N/A,0,0-7-0-0 Aana,16 Feet , Blacktopped,N/A Aana
"Ichangu Narayan Jagga : Land For Sale In Nagarjun, Kathmandu","Ichangunarayan, Nagarjun, Kathmandu",Kathmandu,32500000,0,0,N/A,0,2-0-2-0 Ropani,16 Feet , Blacktopped,.5 Ropani
"House For Sale In Sukedhara, Kathmandu","Yatayat Office sukedhara, Sukedhara, Kathmandu",Kathmandu,47000000,18,6,N/A,6,6 Aana,13 Feet , Blacktopped,N/A Aana
"Office Space For Rent In Baluwatar, Kathmandu","Russian Embassy Nepal, Baluwatar, Kathmandu",Kathmandu,175000,0,0,4,0,1800 Sq. Feet,42 Feet , Blacktopped,N/A Sq. Feet
"Beauty Parlor On Sale! : Business For Sale In Anamnagar, Kathmandu","Devkota Sadak, Anamnagar, Kathmandu",Kathmandu,500000,0,0,1,0,250 Sq. Meter,20 Meter , Soil Stabilized,10-20-10-20 Sq. Meter
"1 Ropani Attractive Commercial Land For Sale At Gahana Pokhari, Naxal : Land For Sale In Naxal, Kathmandu","Gahana Pokhari Main Road, Naxal, Kathmandu",Kathmandu,11000000,0,0,N/A,0,1-0-0-0 Aana,20 Feet , Blacktopped,N/A Aana
"3.5 Storied House On Sale : House For Sale In Boudha, Kathmandu","Bhrikutichowk, Kathmandu Nepal, Boudha, Kathmandu",Kathmandu,22500000,0,4,N/A,4,0-3-0-0 Aana,12 Feet , Gravelled,N/A Aana
"26 Anna Main Road Commercial Land, Mid Baneshwor Beside Venus Hospital : Land For Sale In Mid Baneshwor, Kathmandu","Mid baneshwor Beside Venus Hospital, Mid Baneshwor, Kathmandu",Kathmandu,11000000,0,0,N/A,0,1-10-0-0 Aana,40 Feet , Blacktopped,N/A Aana
"31 Anna Commercial Land For Sale Prime Location, Baluwatar Main Road : Land For Sale In Baluwatar, Kathmandu","Baluwatar Main Road, Baluwatar, Kathmandu",Kathmandu,13000000,0,0,N/A,0,1-15-0-0 Aana,50 Feet , Blacktopped,N/A Aana
"8 Anna Modern House For Sale In Basundhara In Sherchan Colony Height : House For Sale In Dhapasi, Kathmandu","Sherchan Colony, Dhapasi, Dhapasi, Kathmandu",Kathmandu,45000000,6,6,3,2,0-8-0-0 Aana,20 Feet , Blacktopped,N/A Aana
"Magnificent New Bungalow For Sale At Budhanilkantha, Kathmandu : House For Sale In Budhanilkantha, Kathmandu","Park Village, Budhanilkantha, Kathmandu",Kathmandu,130000000,6,7,2,10,1-10-0-0 Aana,20 Feet , Blacktopped,N/A Aana
"9 Anna Commercial Main Road Land On Sale Opposite To Big Mart Lazimpat : Land For Sale In Lazimpat, Kathmandu","Lazimpat Main Road, Lazimpat, Kathmandu",Kathmandu,15000000,0,0,N/A,0,0-9-0-0 Aana,60 Feet , Blacktopped,N/A Aana
"Land With Old House On Sale, Dhumbarahi Main Road Near Investment Bank : Land For Sale In Dhumbarahi, Kathmandu","Dhumbarahi Main Road, Dhumbarahi, Kathmandu",Kathmandu,7500000,0,0,N/A,0,0-9-1-0 Aana,45 Feet , Blacktopped,N/A Aana
"6.5 Anna Land For Sale At Basundhara Chauki, Shayanshah Height : Land For Sale In Dhapasi, Kathmandu","Shayansha Height Near Ram Mandir, Dhapasi, Kathmandu",Kathmandu,4000000,0,0,N/A,0,0-6-2-0 Aana,12 Feet , Blacktopped,N/A Aana
"Bungalow At Mid Baneshwor, 100 Meters From Venus Hospital : House For Sale In Mid Baneshwor, Kathmandu","Mid Baneshwor Near Venus Hospital, Mid Baneshwor, Kathmandu",Kathmandu,120000000,4,5,2,2,0-12-0-2 Aana,20 Feet , Blacktopped,N/A Aana
"Apartment For Rent In Bishal Nagar, Kathmandu","Bishal Nagar, Bishal Nagar, Kathmandu",Kathmandu,100000,2,2,9,1,1371 Sq. Feet,0 Feet,NA,N/A Sq. Feet
"Bhelpa House On Rent : House For Rent In Gwarko, Lalitpur","Balfal Bhelpa., Gwarko, Lalitpur",Lalitpur,45000,3,3,3,1,0-2-2-0 Aana,16 Feet , Gravelled,0-2-2-0 Aana
"Office Space For Rent In Baneshwor, Kathmandu","New Baneshwor Chowk, Baneshwor, Kathmandu",Kathmandu,350000,0,0,8,0,2200 Sq. Feet,30 Meter , Blacktopped,N/A Sq. Feet
"Residential : House For Sale In Kapan, Kathmandu","Payutar, Kapan, Kathmandu",Kathmandu,22000000,6,5,3,1,5 Aana,14 Feet , Gravelled,4 Aana
"House For Sale In Tikathali, Lalitpur","Tikathali, Tikathali, Lalitpur",Lalitpur,17000000,3,2,2,3,0-4-0-0 Aana,13 Feet , Gravelled,127.18 Sq. Feet
"Budhanilkantha Bungalow : House For Rent In Budhanilkantha, Kathmandu","Budhanilkantha, Budhanilkantha, Kathmandu",Kathmandu,550000,24,0,4,15,48 Aana,22 Feet , Blacktopped,16 Aana
"Budanilkantha Golfutar Home : House For Sale In Budhanilkantha, Kathmandu","Golfutar, Budhanilkantha, Kathmandu",Kathmandu,30000000,10,8,4,2,4 Aana,30 Feet , Blacktopped,N/A Aana
"House For Sale In Kavresthali, Kathmandu","Vadigoth, Kavresthali, Kathmandu",Kathmandu,7000000,0,0,N/A,0,3 Aana,10 Feet , Soil Stabilized,N/A Sq. Feet
"New Modern And Beautiful House : House For Sale In Thaiba, Lalitpur","Wasa hiti, Thaiba, Lalitpur",Lalitpur,19000000,4,4,3,2,0-4-0-1 Aana,13 Feet , Gravelled,2500 Sq. Feet
"House Near Kist Hospital Imadole : House For Sale In Imadol, Lalitpur","timalshina chowk, Imadol, Lalitpur",Lalitpur,18000000,0,4,4,0,11 Dhur,0 Feet,NA,11 Dhur
"Land For Sale In Birgunj, Parsa","Birganj Inner Bypass Rd, Birgunj, Parsa",Parsa,1550000,0,0,0,0,45 Dhur,66 Feet , Blacktopped,N/A Sq. Meter
"One Floor Home : House For Sale In Tarakeshwar, Kathmandu","Kavresthali, Tarakeshwar, Kathmandu",Kathmandu,12000000,1,1,1,1,0-2-2-3 Aana,10 Feet , Gravelled,0-2-2-3 Aana
"House For Sale In Newroad, Kathmandu","New Road, Newroad, Kathmandu",Kathmandu,122500000,23,10,N/A,0,0-2-2-0 Aana,15 Feet , Blacktopped,N/A Sq. Feet
"House For Rent In Boudha, Kathmandu","Boudha - Jorpati Road, Boudha, Kathmandu",Kathmandu,55000,4,4,N/A,0,2100 Sq. Feet,15 Feet , Gravelled,N/A Sq. Feet
"Land For Sale In Thali, Kathmandu","Thali, Thali, Kathmandu",Kathmandu,1500000,0,0,N/A,0,0-3-2-0 Aana,12 Feet , Gravelled,N/A Sq. Feet
"Land For Sale In Thali, Kathmandu","Thali, Thali, Kathmandu",Kathmandu,1300000,0,0,N/A,0,4 Aana,4 Feet , Soil Stabilized,N/A Sq. Feet
"Land For SALE In Banepa : Land For Sale In Banepa, Kavre","Karuna Marg, Banepa, Kavre",Kavre,815000,0,0,N/A,0,10.3 Aana,20 Feet , Gravelled,N/A Aana
"Land For Sale In Thali, Kathmandu","Thali, Thali, Kathmandu",Kathmandu,1350000,0,0,N/A,0,6 Aana,12 Feet , Gravelled,N/A Sq. Feet
"House For Rent In Minbhawan, Kathmandu","New Baneshwor, Minbhawan, Kathmandu",Kathmandu,80000,6,2,3,0,0-5-3-0 Ropani,20 Feet , Blacktopped,2500 Ropani
"House For Sale In Jorpati, Kathmandu","Shiva Chowk, Dashindhoka Jorpati, Jorpati, Kathmandu",Kathmandu,20000000,0,0,N/A,0,4 Aana,15 Feet,NA,N/A Sq. Feet
"House For Sale In Tikathali, Lalitpur","Tikathali-1, Tikathali, Lalitpur",Lalitpur,17000000,8,3,N/A,0,0-3-0-0 Aana,13 Feet , Blacktopped,N/A Sq. Feet
"House For Sale In Tarkeshwor, Kathmandu","lolang hariyali basti, Tarkeshwor, Kathmandu",Kathmandu,17000000,0,0,N/A,0,0-3-0-0 Aana,10 Feet , Gravelled,N/A Sq. Feet
"House For Sale In Tarkeshwor, Kathmandu","Lolang, Tarkeshwor, Kathmandu",Kathmandu,8500000,4,0,N/A,0,2.5 Aana,10 Feet,NA,N/A Sq. Feet
"Land For Sale In Godawari, Lalitpur","Badikhel, Godawari, Lalitpur",Lalitpur,1100000,0,0,N/A,0,5 Aana,20 Feet , Gravelled,N/A Sq. Feet
"House For Sale In Harisiddhi, Lalitpur","Harisiddhi, Harisiddhi, Lalitpur",Lalitpur,15500000,8,0,3,0,3 Aana,20 Feet , Gravelled,N/A Sq. Feet
"Land For Sale In Naikap, Kathmandu","Naikap Naya Bhanjyang, Naikap, Kathmandu",Kathmandu,2600000,0,0,N/A,0,0-7-0-0 Aana,20 Feet , Blacktopped,N/A Aana
"3 Ropani Land For Sale At Pumdikot Pokhara : Land For Sale In Pokhara, Pokhara","Pumdikot, Pokhara, Pokhara",Pokhara,60000000,0,0,N/A,0,3-0-0-03 Aana,20 Feet , Blacktopped,N/A Aana
"Shutters For Rent : Office Space For Rent In Koteshwor, Kathmandu","338/6, Koteshwor, Kathmandu",Kathmandu,24000,0,3,2,1,13 Aana,0 Meter , Paved,6 Aana
"Land For Sale In Birtamod Road, Itahari","Rajbiraj saptari, Birtamod Road, Itahari",Itahari,230000,0,0,N/A,0,16 Dhur,0 Feet,NA,N/A Aana
"Land For Sale In Suryabinayak, Bhaktapur","sanga fun park, Suryabinayak, Bhaktapur",Bhaktapur,1200000,0,0,0,0,39 Aana,20 Feet , Soil Stabilized,N/A Sq. Feet
"Tinkune Prime Location Land On Sale : Land For Sale In Tinkune, Kathmandu","Gairigaon, Tinkune, Kathmandu",Kathmandu,5600000,0,0,N/A,0,5 Aana,15 Feet , Blacktopped,2 Paisa
"SAMAKHUSI HOME : House For Sale In Samakhusi, Kathmandu","Samakhusi, Samakhusi, Kathmandu",Kathmandu,44000000,5,6,3,1,4 Aana,15 Feet , Blacktopped,N/A Aana
"BUDHANILKANTHA 20 ANA VILLA : House For Sale In Budhanilkantha, Kathmandu","Near by Deubaniwas, Budhanilkantha, Kathmandu",Kathmandu,100000000,6,6,3,10,20 Aana,20 Feet , Blacktopped,N/A Aana
"BUDANILKANTHA VILLA : House For Sale In Budhanilkantha, Kathmandu","Near by Deubaniwas, Budhanilkantha, Kathmandu",Kathmandu,96000000,5,7,3,0,18 Aana,20 Feet , Blacktopped,N/A Aana
"BHANGAL HEIGHT NEW HOME : House For Sale In Bhangal, Kathmandu","Bhangal, Bhangal, Kathmandu",Kathmandu,28500000,6,6,3,2,4.5 Aana,20 Feet , Blacktopped,N/A Aana
"House For Sale In Kadaghari, Kathmandu","Birendra Chowk, Kadaghari, Kathmandu",Kathmandu,22500000,0,0,N/A,0,4 Aana,16 Feet , Blacktopped,N/A Sq. Feet
"Swayambhu Buddhachok 4 Floors Home : House For Sale In Swayambhu, Kathmandu","Swayambhu, Swayambhu, Kathmandu",Kathmandu,41000000,17,10,N/A,2,8.1 Aana,15 Feet , Blacktopped,N/A Aana
"House For Sale In Samakhusi, Kathmandu","Near Ranibari, Samakhusi, Kathmandu",Kathmandu,30000000,11,0,4,2,5 ana Aana,13 Feet , Blacktopped,4ana Aana
"5 Ana Land On Sale In Vibor Planning, Chunikhel Bhaiseapti : Land For Sale In Bhaisepati, Lalitpur","Chunikhel, Bhaisepati, Lalitpur",Lalitpur,2500000,0,0,N/A,0,0-5-0-0 Aana,0 Feet,NA,N/A Aana
"Office Space For Sale In Jamal, Kathmandu","Kanti Path, Jamal, Kathmandu",Kathmandu,1200000,0,0,N/A,0,1850 Sq. Feet,40 Feet , Blacktopped,N/A Sq. Feet
"Apartment For Rent In Naxal, Kathmandu","Bhatbhateni Apartments, Naxal, Kathmandu",Kathmandu,170000,3,4,7,2,2100 Sq. Feet,20 Feet , Blacktopped,N/A Sq. Feet
"Modern Bungalow : House For Sale In Maharajgunj, Kathmandu","Maharajgunj, Maharajgunj, Kathmandu",Kathmandu,65000000,5,6,3,3,6.5 Aana,15 Feet , Blacktopped,N/A Aana
"2 Floors Flats Available For Office Rent In Kupondole : Flat For Rent In Kupondole, Lalitpur","84/10 Kupondole, Kupondole, Lalitpur",Lalitpur,95000,4,2,4,4,8 Aana,0 Feet , Paved,N/A Aana
"3 - 4 Ana Land On Sale In Khadka Gau , Kalanki 1.5 Km From LRI School : Land For Sale In Kalanki, Kathmandu","Khadka Gau , 1.5 km from LRI, Kalanki, Kathmandu",Kathmandu,2300000,0,0,N/A,0,3 -4 Pieces Aana,13 Feet , Blacktopped,N/A Aana
"Flat For Rent In Balkot, Bhaktapur","Sirutar, Balkot, Bhaktapur",Bhaktapur,12000,2,1,N/A,0,900 Sq. Feet,15 Feet , Blacktopped,N/A Sq. Feet
"PRIVATE HOME URGENTLY SELLING : House For Sale In Basbari, Kathmandu","Basnsbari Road, Basbari, Kathmandu",Kathmandu,115000000,4,4,3,4,18 Aana,13 Feet , Paved,12 Aana
"5 Ana Land On Sale In Pepsicola, Kathmandu !! : Land For Sale In Pepsicola, Kathmandu","Pepsicola , Near Sunrise Bank, Pepsicola, Kathmandu",Kathmandu,4000000,0,0,N/A,0,0-5-0-0 Aana,0 Feet,NA,N/A Aana
"4 Ana Land On Sale In Dharmasthali, Tarakheshwor Kathamandu : Land For Sale In Tarakeshwar, Kathmandu","Dharmasthali, Tarakeshwar, Kathmandu",Kathmandu,1400000,0,0,N/A,0,0-4-0-0 Aana,0 Feet,NA,N/A Aana
"LAND FOR SALE : Land For Sale In Khairahani, Chitwan","Khairahani Nagarpalika, Ward No 6, Chitwan, Khairahani, Chitwan",Chitwan,2500000,0,0,N/A,0,13 Kattha,6 Meter , Gravelled,N/A Aana
"Immediate Sale Of 4 Ana Land In Vip Area Of Bhaisepati : Land For Sale In Bhaisepati, Lalitpur","Gokul Awash Bhaisepati, Bhaisepati, Lalitpur",Lalitpur,3500000,0,0,N/A,0,0-4-0-0 Aana,20 Feet , Blacktopped,N/A Aana
"1 Ropani Land On Sale In Macchegau, Kritipur - Can Be Plotted Into 3 Pieces : Land For Sale In Naya Bazar, Kathmandu","machchhegaun, Naya Bazar, Kathmandu",Kathmandu,1000000,0,0,N/A,0,1-0-0-0 Ropani,32 Feet , Blacktopped,N/A Aana
"5 Ana Land On Sale In Hattiban , Saatdobato : Land For Sale In Hattiban, Lalitpur","Hattiban, Hattiban, Lalitpur",Lalitpur,2300000,0,0,N/A,0,0-5-0-0 Aana,13 Feet , Paved,N/A Aana
"House For Rent In Lekhnath, Pokhara","Lake Side, Lekhnath, Pokhara",Pokhara,230000,0,0,N/A,1,0-8-0-0 Aana,32 Feet , Blacktopped,N/A Aana
"4 Ana Land On Sale In BhatekekoPati , Kritipur : Land For Sale In Kirtipur, Kathmandu","Bhatkepati, Kirtipur, Kathmandu",Kathmandu,2100000,0,0,N/A,0,0-4-0-0 Aana,16 Feet , Gravelled,N/A Aana
"House For Sale In Dhapasi, Kathmandu","Bhagawati Temple, Dhapasi, Kathmandu",Kathmandu,35000000,6,4,3,8,0-6-2-0 Aana,32 Feet , Blacktopped,N/A Aana
"Bunglow On Sale At Dhungedhara Near Nursery Chowk : House For Sale In Dhungedhara, Kathmandu","Nursery Chowk, Dhungedhara, Kathmandu",Kathmandu,140000000,7,4,N/A,3,1-7-0-0 Aana,26 Feet , Blacktopped,N/A Aana
"House For Sale In Duwakot, Bhaktapur","Duwakot, Duwakot, Bhaktapur",Bhaktapur,7500000,0,0,N/A,0,0-3-0-0 Aana,13 Feet , Gravelled,N/A Sq. Feet
"House For Sale In Naikap, Kathmandu","Purano Naikap, Naikap, Kathmandu",Kathmandu,9500000,0,0,N/A,0,0-2-3-0 Aana,10 Feet , Blacktopped,N/A Sq. Feet
"House For Sale In Bhangal, Kathmandu","Bhangal, Bhangal, Kathmandu",Kathmandu,20000000,0,0,N/A,0,0-3-1-0 Aana,13 Feet , Blacktopped,N/A Sq. Feet
"House For Sale In Hattigauda, Kathmandu","Hattigauda, Hattigauda, Kathmandu",Kathmandu,18000000,0,0,N/A,0,3 Aana,16 Feet , Blacktopped,N/A Sq. Feet
"House For Sale In Lekhnath, Pokhara","Pokhara Gumba Fade, Lekhnath, Pokhara",Pokhara,12000000,0,0,N/A,0,17*45 Haat,30 Feet , Gravelled,N/A Sq. Feet
"Office Space For Rent In Newroad, Kathmandu","Khichapokhari, Newroad, Kathmandu",Kathmandu,160000,0,4,6,0,2400 Sq. Feet,0 Feet,NA,N/A Aana
"House For Sale In Hattigauda, Kathmandu","Hattigauda, Hattigauda, Kathmandu",Kathmandu,35000000,0,0,N/A,0,7 Aana,15 Feet , Gravelled,N/A Sq. Feet
"House For Rent In Dharan, Dharan","British Gurkha Memorial camp, Dharan, Dharan",Dharan,25000,0,0,N/A,0,2200 Sq. Feet,13 Feet , Blacktopped,N/A Sq. Feet
"Land For Sale In Dakshinkali, Kathmandu","Pharping Bhimsensthan, Dakshinkali, Kathmandu",Kathmandu,150000,0,0,N/A,0,15-10-0-0 Ropani,20 Feet , Gravelled,N/A Aana
"Commercial Building For Rent : Business For Rent In Budhanilkantha, Kathmandu","Budhanilkantha, Narayanthan, Budhanilkantha, Kathmandu",Kathmandu,15000,0,0,3,0,8 Aana,24 Feet , Blacktopped,2000 Sq. Feet
"Land For Sale At Chundevi Kathmandu : Land For Sale In Maharajgunj, Kathmandu","Chundevi, Maharajgunj, Kathmandu",Kathmandu,4500000,0,0,N/A,0,4 anna Aana,0 Feet,NA,N/A Aana
"Fully Furnished : Flat For Rent In Banasthali, Kathmandu","Bhrikuti Tole, Banasthali, Kathmandu",Kathmandu,25000,1,1,N/A,2,0-6-0-0 Aana,16 Feet , Blacktopped,0-4-0-0 Aana
"Office Space For Rent In Lazimpat, Kathmandu","lazimpath marg, Lazimpat, Kathmandu",Kathmandu,35000,0,2,N/A,1,3 Aana,0 Feet,NA,2 Aana
"Land For Sale In Pepsicola, Kathmandu","Pepsicola, Sairam Chowk, Pepsicola, Kathmandu",Kathmandu,5500000,0,0,N/A,0,4.5 Aana,16 Feet , Blacktopped,4.5 Aana
"House At Shankhamul For Sale : House For Sale In Patan, Lalitpur","Shankhamul, Patan, Lalitpur",Lalitpur,17600000,2,2,N/A,1,0-2-3-1 Aana,13 Feet,NA,962 Sq. Feet
"House For Sale In Kapan, Kathmandu","Ram Mandir, Kapan, Kathmandu",Kathmandu,18500000,0,0,N/A,0,0-3-2-0 Aana,13 Feet , Gravelled,N/A Sq. Feet
"House For Sale In Bhaisepati, Lalitpur","Wai-Wai Noodles Factory, Bhaisepati, Lalitpur",Lalitpur,25000000,0,0,3,0,0-5-2-0 Aana,12 Feet , Gravelled,N/A Aana
"House For Sale In Anamnagar, Kathmandu","manakamana colony, Anamnagar, Kathmandu",Kathmandu,33000000,5,4,4,1,5 Aana,12 Feet , Blacktopped,5 Aana
"Land For Sale In Pokhara, Pokhara","Miyapatan, Pokhara, Pokhara",Pokhara,8000000,0,0,N/A,0,18*35 Haat,12 Feet , Gravelled,N/A Sq. Feet
"Flat For Rent In Balkhu, Kathmandu","Balkhu, Balkhu, Kathmandu",Kathmandu,22000,2,2,N/A,1,6 Aana,13 Feet , Blacktopped,4 Aana
"House For Sale In Samakhusi, Kathmandu","Samakhusi Kharibot, Samakhusi, Kathmandu",Kathmandu,22500000,9,4,3,3,3 Aana,13 Feet , Blacktopped,N/A Aana
"House For Sale In Samakhusi, Kathmandu","Samakhusi kharibot, Samakhusi, Kathmandu",Kathmandu,27500000,6,3,3,3,4 Aana,13 Feet , Blacktopped,N/A Aana
"House Sell On Imadol : House For Sale In Imadol, Lalitpur","kozy home, Imadol, Lalitpur",Lalitpur,23800000,6,3,3,1,4 Aana,13 Feet , Gravelled,3 Aana
"House For Sale In Naikap, Kathmandu","Naikap, Naikap, Kathmandu",Kathmandu,18500000,8,0,N/A,0,0-3-2-0 Aana,12 Feet,NA,N/A Aana
